TriggerID,GRBName,tmin,tmin_err,tmin_upp_lim,tS_N,tS_N_err,T90,T90_err,tStart,tStop,Xtmin,XtS_N,z
101219686,101219B,5.386,0.868,FALSE,2.087,0.181,51.009,1.775,-8.423,72.157,0.56,0.22,0.55
101220576,101220A,7.748,0.937,FALSE,2.951,0.256,72.449,4.048,-21.684,93.495,0.47,0.18,NA
101223834,101223A,20.645,NA,TRUE,2.482,0.215,56.065,5.497,-41.217,42.437,1.44,0.28,NA
101224227,101224A,0.050,0.008,FALSE,0.023,0.002,1.728,1.680,-0.923,2.517,0.88,0.41,NA
101224578,101224B,0.145,NA,TRUE,0.039,0.003,44.737,0.889,-2.649,66.667,0.28,0.21,NA
101224614,101224C,3.617,NA,TRUE,0.620,0.054,25.601,3.416,-15.233,35.711,0.62,0.19,NA
101224998,101224D,0.212,0.073,FALSE,0.130,0.011,18.688,8.719,-19.044,18.130,0.9,0.55,NA
101225377,101225B,0.557,0.141,FALSE,0.310,0.027,81.217,35.377,-7.910,125.258,0.18,0.1,NA
101227195,101227A,0.535,NA,TRUE,0.092,0.008,95.488,1.639,-16.013,141.529,0.9,0.44,NA
101227406,101227B,0.231,0.109,FALSE,0.092,0.008,153.347,2.573,-27.564,185.578,0.28,0.11,NA
101227536,101227C,0.075,NA,TRUE,0.023,0.002,28.865,3.088,-14.500,42.931,0.61,0.32,NA
101231067,101231A,0.098,0.011,FALSE,0.039,0.003,23.614,0.572,-6.265,27.955,0.46,0.18,NA
110101202,110101A,0.208,0.031,FALSE,0.110,0.010,3.584,1.493,-4.080,3.044,1.02,0.54,NA
110101506,110101B,1.915,0.614,FALSE,1.241,0.108,235.523,8.256,-103.425,141.832,0.72,0.47,NA
110102788,110102A,0.206,0.039,FALSE,0.110,0.010,253.956,2.049,-119.426,184.990,0.22,0.12,NA
110105877,110105A,0.276,0.074,FALSE,0.110,0.010,123.394,6.476,-17.725,127.863,0.37,0.15,NA
110106893,110106B,0.671,0.287,FALSE,0.439,0.038,35.521,3.612,-23.837,33.350,0.63,0.41,NA
110107886,110107A,0.330,NA,TRUE,0.078,0.007,183.555,24.406,-61.185,122.967,0.58,0.35,NA
110108977,110108A,1.001,0.542,FALSE,0.738,0.064,51.456,6.955,-19.677,76.516,0.63,0.47,NA
110112934,110112B,0.024,0.012,FALSE,0.016,0.001,2.304,2.538,-2.102,2.474,0.7,0.47,NA
110117364,110117A,32.263,NA,TRUE,19.855,1.720,72.448,9.051,-28.161,89.192,0.89,0.91,NA
110117626,110117B,0.441,NA,TRUE,0.110,0.010,43.264,1.639,-23.640,62.447,0.69,0.36,NA
110118857,110118A,0.334,0.063,FALSE,0.155,0.013,34.561,2.360,-23.346,45.428,0.41,0.19,NA
110119931,110119A,0.280,NA,TRUE,0.130,0.011,205.828,1.864,-26.362,298.834,0.39,0.39,NA
110120666,110120A,0.018,0.007,FALSE,0.011,0.001,28.417,9.793,-13.821,42.695,0.31,0.19,NA
110123804,110123A,0.358,NA,TRUE,0.092,0.008,17.856,0.810,-7.608,27.359,0.14,0.08,NA
